,CLASS_NAME,num,x,y,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16
2442,honghailan,8773,372395.578432,2383456.79208,94.71429,0.1968,0.9791044,0.6963753,0.4389621,4.5870786,0.4086582,9.578939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2443,honghailan,8774,372397.893541,2383458.51188,198.5,0.1975,0.9899749,0.6929638,0.4421765,4.5138893,0.41114998,13.982848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2444,honghailan,8775,372398.856626,2383461.66042,36.395348,0.1522,0.9465174,0.62260234,0.3795523,3.2994504,0.32609996,5.7881184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2445,honghailan,8776,372388.004719,2383456.62672,59.187504,0.18620001,0.9667706,0.6805679,0.424279,4.2611113,0.3888629,7.500264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2446,honghailan,8777,372387.640916,2383454.41083,50.184208,0.18689999,0.9609254,0.66332316,0.42378882,3.940414,0.38943338,6.874762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2447,honghailan,8778,372385.623464,2383454.41083,324.19998,0.16160001,0.99385,0.67372227,0.400757,4.129747,0.3472879,17.922396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2448,honghailan,8779,372375.866934,2383452.29415,68.85185,0.1832,0.97136796,0.6838769,0.42184666,4.3266478,0.38410577,8.118443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2449,honghailan,8780,372373.750263,2383450.60743,52.68421,0.1964,0.9627451,0.6894515,0.4348369,4.4402175,0.40601328,7.053986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2450,honghailan,8781,372373.915628,2383454.34468,22.32653,0.20899999,0.9142607,0.6619825,0.43712753,3.916854,0.42058402,4.4156547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2451,honghailan,8782,372374.04792,2383456.19677,34.5,0.1809,0.9436619,0.6596881,0.4131688,3.8769636,0.37710753,5.622515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2452,honghailan,8783,372376.032299,2383456.0314,34.26154,0.2162,0.94328094,0.6903225,0.4515942,4.458333,0.4364855,5.601337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2453,luodi,108,375144.151935,2381638.73609,1.22088,0.019604117,0.09945608,0.18787596,0.04415596,0.46267796,0.03709052,0.1482156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2454,luodi,109,375148.848299,2381641.51422,1.1694425,0.016513705,0.07810417,0.1795334,0.035913635,0.43763733,0.030629162,0.11503986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2455,luodi,110,375146.268606,2381644.09392,1.66777,0.055205874,0.25031018,0.27871257,0.11755251,0.77281964,0.103281945,0.4088394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2456,luodi,111,375152.486327,2381648.59184,1.5299654,0.048483767,0.20947535,0.28971007,0.100777745,0.81575155,0.08915525,0.33318865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2457,luodi,112,375149.97278,2381637.41317,1.9035561,0.0727981,0.3111895,0.34622198,0.15051247,1.0591424,0.13513857,0.5302614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2458,luodi,113,375154.07383,2381656.33092,2.3563468,0.09651799,0.40411404,0.39985022,0.197495,1.3325014,0.18027768,0.7403504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2459,luodi,114,375155.992063,2381662.87937,2.3690262,0.09742024,0.40635663,0.41512397,0.19896573,1.419528,0.18184033,0.74586385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2460,luodi,115,375156.521231,2381666.25281,2.129139,0.08229145,0.36084652,0.36688167,0.17232116,1.1589673,0.15467353,0.6383149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2461,luodi,118,375136.511415,2381749.45783,1.392754,0.03851696,0.16414307,0.2875281,0.07951284,0.8071282,0.07018646,0.25390518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2462,luodi,119,375136.273289,2381754.53784,2.1241884,0.107791245,0.35983375,0.406313,0.19694397,1.3687785,0.18794739,0.6360196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2463,luodi,121,375140.078005,2381748.84928,1.2762893,0.030579805,0.121377066,0.2706491,0.060923617,0.74216425,0.054339252,0.18312617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2464,luodi,123,375142.512177,2381745.30386,1.3926582,0.042397566,0.1641096,0.29936585,0.08341371,0.8545569,0.075198844,0.25384837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2465,luodi,124,375146.057601,2381744.88052,1.3288375,0.03550648,0.14120243,0.27786598,0.070806794,0.76956904,0.063285805,0.2154824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2466,luodi,125,375146.639685,2381741.49385,1.4110625,0.04278332,0.17049019,0.2863224,0.085405715,0.8023859,0.07658177,0.26473027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2467,luodi,126,375149.232607,2381741.17635,1.3835189,0.044322804,0.16090451,0.2948447,0.08444963,0.8362546,0.077096194,0.24841481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2468,luodi,128,375151.455111,2381739.27135,1.5938994,0.050402194,0.22896007,0.31301087,0.10742481,0.91125417,0.09410779,0.36875364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2469,luodi,129,375152.195946,2381735.19675,1.5037,0.05050963,0.20118225,0.29392827,0.10080497,0.8325734,0.09074985,0.3183324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2470,luodi,130,375156.588038,2381734.0855,1.7010342,0.06609679,0.25954285,0.36574924,0.1309769,1.153327,0.11916505,0.42655414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2471,luodi,131,375153.677616,2381730.593,1.7757405,0.0777891,0.27947155,0.3564904,0.14744437,1.1079569,0.13707507,0.46561506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2472,luodi,133,375153.413032,2381724.2959,1.4768277,0.049101688,0.1925155,0.30448657,0.097225696,0.8755735,0.08773051,0.30297977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2473,luodi,134,375157.117206,2381722.7084,1.3847033,0.041303813,0.16132122,0.2874541,0.081628315,0.8068367,0.07342398,0.24912007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2474,luodi,135,375158.810543,2381719.63922,1.20584,0.022782445,0.093315914,0.23952645,0.046108186,0.6299403,0.04070923,0.13859347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2475,luodi,136,375161.932632,2381720.53881,1.520108,0.054707214,0.20638324,0.31664672,0.106257476,0.926744,0.09683832,0.3276302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2476,luodi,137,375164.208054,2381717.3638,1.2223727,0.026811004,0.10006091,0.23606344,0.05179511,0.6180184,0.046652433,0.14916708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2477,luodi,138,375165.848474,2381720.11547,1.9559952,0.08219245,0.32340893,0.37362057,0.16303916,1.1929529,0.14949408,0.5560372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2478,luodi,140,375167.594727,2381715.19421,1.1977686,0.023191877,0.089986086,0.23681103,0.04568311,0.62058294,0.04077615,0.13340321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2479,luodi,142,375172.198486,2381712.17796,1.4501009,0.041177385,0.1837071,0.2901977,0.08697458,0.81768596,0.07612891,0.28755298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2480,luodi,146,375182.570174,2381715.93505,2.1722918,0.09890633,0.36954096,0.42428696,0.19118038,1.473953,0.17843278,0.65818673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2481,luodi,147,375185.057262,2381712.91879,1.1663779,0.02169308,0.07680006,0.24316226,0.04081703,0.6425743,0.03701891,0.113039054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2482,luodi,150,375178.125165,2381707.41545,1.76225,0.071402095,0.27595258,0.34724134,0.14036949,1.0639195,0.12843123,0.45863363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2483,luodi,151,375233.343817,2381714.58567,1.5162821,0.051200934,0.20517656,0.30332282,0.10249503,0.8707701,0.09219499,0.32546732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2484,luodi,152,375240.421435,2381715.44557,1.7005682,0.074099876,0.2594151,0.35315585,0.13864568,1.0919349,0.12920897,0.42630738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2485,luodi,153,375244.720923,2381715.64401,2.1136236,0.10431624,0.35766158,0.3856387,0.19315773,1.2554135,0.18329346,0.6311105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2486,luodi,154,375247.895929,2381716.70234,1.5224832,0.060382724,0.20713049,0.3031676,0.11183516,0.87013066,0.10387057,0.32897145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2487,luodi,155,375252.195417,2381723.44923,1.8394128,0.0800717,0.29562902,0.35571772,0.15385552,1.1042295,0.14253739,0.49815136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2488,luodi,156,375241.678209,2381706.25128,1.4607027,0.04619798,0.18722403,0.28908417,0.093002,0.8132726,0.08326118,0.29369137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2489,luodi,159,375264.926311,2381906.49717,0.7397905,-0.021382697,-0.14956373,-0.11105337,-0.05655153,-0.19990647,-0.04249303,-0.19727619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2490,luodi,160,375268.233609,2381904.71123,0.49564978,-0.044229988,-0.33721143,-0.28296074,-0.1221264,-0.44110584,-0.08818204,-0.41239864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2491,luodi,162,375278.089358,2381895.97996,1.1635299,0.010298848,0.07558477,0.03315755,0.027900467,0.06858933,0.021027923,0.11117718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2492,luodi,163,375238.20334,2381890.82057,0.98687506,-0.0011939481,-0.0066058254,0.085828,-0.0028083825,0.18777215,-0.0022818423,-0.009311339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2493,luodi,164,375235.226772,2381904.04977,2.0618181,0.09129065,0.34679332,0.4082891,0.17792974,1.3800292,0.16495031,0.60682076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2494,luodi,165,375213.740909,2381872.53011,1.3431767,0.026694514,0.1464579,0.20260964,0.06252698,0.5081818,0.05168673,0.22418952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2495,luodi,166,375216.201539,2381863.32259,1.0112987,0.001027815,0.005617597,0.117928356,0.002402884,0.26738954,0.0019610024,0.007966884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2496,luodi,167,375192.865242,2381845.30443,1.6568295,0.054301403,0.24722306,0.31162173,0.1158644,0.9053793,0.10165862,0.40296823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2497,luodi,168,375177.307711,2381844.98693,1.4512671,0.035592265,0.18409546,0.25619566,0.08094674,0.68887913,0.06824945,0.28822947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
