,CLASS_NAME,num,x,y,RVI,DVI,GNDVI,MSAVI,MCARI,NDWI,CMRI
4926,tonghuashu,4936,370805.4157,2386638.847,9.249222,0.2648,0.60921407,0.47216997,0.78525907,-0.60921407,1.4140773
4927,tonghuashu,4937,370808.4372,2386633.73,8.48116,0.2581,0.62015504,0.45791388,0.73834217,-0.62015504,1.4092104
4928,tonghuashu,4938,370809.0934,2386626.522,10.377163,0.271,0.63745564,0.4871061,0.92375976,-0.63745564,1.4616649
4929,tonghuashu,4941,370799.3885,2386585.443,10.35943,0.26299998,0.6253489,0.4751265,0.878731,-0.6253489,1.4492836
4930,tonghuashu,4942,370791.9272,2386579.305,8.298361,0.22260001,0.5843506,0.40387285,0.64380175,-0.5843506,1.3692589
4931,tonghuashu,4944,370815.7432,2386535.476,12.350195,0.2917,0.66964763,0.52629393,0.97188306,-0.66964763,1.5198371
4932,tonghuashu,4946,370859.7302,2386506.801,12.713693,0.2823,0.64377683,0.5136869,1.0108721,-0.64377683,1.4979372
4933,tonghuashu,4947,370873.687,2386492.977,20.40341,0.3415,0.69907737,0.6244668,1.7537862,-0.69907737,1.6056343
4934,tonghuashu,4948,370878.63,2386483.929,10.662651,0.2406,0.6100667,0.4417868,1.0376992,-0.6100667,1.4385791
4935,tonghuashu,4949,370872.5956,2386469.197,12.596591,0.2041,0.5740149,0.38606495,0.99104726,-0.5740149,1.4269192
4936,tonghuashu,4951,370892.3175,2386447.507,11.11588,0.23570001,0.620269,0.43545565,0.8449169,-0.620269,1.4551964
4937,tonghuashu,4952,370884.2042,2386453.521,11.736655,0.3017,0.64694136,0.53796434,0.96878946,-0.64694136,1.4899142
4938,tonghuashu,4953,370897.235,2386413.205,8.645367,0.23929998,0.5992907,0.43115282,0.59448683,-0.5992907,1.3919373
4939,tonghuashu,4954,370894.2254,2386424.549,9.951111,0.20140001,0.58963436,0.3757173,0.63451207,-0.58963436,1.4070046
4940,tonghuashu,4958,370904.2795,2386368.457,14.033493,0.2724,0.68418026,0.5025683,1.0841908,-0.68418026,1.5511439
4941,tonghuashu,4959,370914.9582,2386306.419,12.37729,0.3106,0.65677863,0.55351216,1.1466652,-0.65677863,1.5072715
4942,tonghuashu,4960,370921.7421,2386288.387,12.720755,0.3106,0.6589567,0.55507797,1.1237797,-0.6589567,1.5131922
4943,tonghuashu,4961,370910.6626,2386286.767,12.669857,0.24390002,0.6166057,0.4531608,0.95557845,-0.6166057,1.4702983
4944,tonghuashu,4962,370921.2129,2386274.298,13.565657,0.3732,0.7090138,0.6405483,1.2092112,-0.7090138,1.5717045
4945,tonghuashu,4963,370928.2575,2386258.919,10.602077,0.2775,0.6406961,0.49772388,0.8492825,-0.6406961,1.4683132
4946,tonghuashu,4965,370937.551,2386236.033,8.841122,0.2517,0.597973,0.4507198,0.745068,-0.597973,1.3947442
4947,tonghuashu,4967,370941.6851,2386200.777,9.529745,0.30110002,0.63817877,0.52436644,0.90576553,-0.63817877,1.4482408
4948,tonghuashu,4971,370957.3948,2386141.312,6.444759,0.1922,0.5186916,0.34690014,0.50775653,-0.5186916,1.2500463
4949,tonghuashu,4972,370957.1963,2386129.968,14.421687,0.33420002,0.67100984,0.59518194,1.4681858,-0.67100984,1.5413225
4950,tonghuashu,4975,370984.0384,2386053.731,8.310145,0.2522,0.6206897,0.4483261,0.71201605,-0.6206897,1.4058702
4951,tonghuashu,4976,370990.1741,2386030.765,11.977359,0.29090002,0.66004187,0.52355874,1.0395929,-0.66004187,1.5059273
4952,tonghuashu,4977,370987.9939,2386023.421,10.75089,0.274,0.6298894,0.49328864,0.8657294,-0.6298894,1.4596895
4953,tonghuashu,4978,370998.6381,2386010.335,10.987952,0.24870001,0.61941403,0.4557055,0.9275141,-0.61941403,1.4525799
4954,tonghuashu,4979,371006.1777,2385988.473,12.774194,0.25550002,0.64412814,0.4721758,1.1024967,-0.64412814,1.4989291
4955,tonghuashu,4980,371002.791,2385979.921,16.612904,0.3388,0.6916941,0.60978067,1.6943846,-0.6916941,1.578141
4956,tonghuashu,4981,371011.7022,2385974.672,15.935325,0.30020002,0.68136483,0.5510566,1.4362088,-0.68136483,1.5632684
4957,tonghuashu,4985,371027.5772,2385941.398,14.204443,0.29709998,0.6807783,0.54113245,1.2315669,-0.6807783,1.5492377
4958,tonghuashu,4986,371034.5622,2385933.588,13.066667,0.2715,0.66430795,0.4983041,1.0097278,-0.66430795,1.5221279
4959,tonghuashu,4988,371069.0481,2385890.455,22.230263,0.32270002,0.7108861,0.5998319,2.139584,-0.7108861,1.6247916
4960,tonghuashu,4989,371090.7175,2385869.341,14.290456,0.32029998,0.67672837,0.5753064,1.4117653,-0.67672837,1.5459278
4961,tonghuashu,4990,371125.2325,2385755.244,14.049793,0.3145,0.695968,0.56611145,1.2413626,-0.695968,1.5630758
4962,tonghuashu,4991,371127.1375,2385749.053,25.984455,0.4822,0.77963096,0.80502534,2.3947632,-0.77963096,1.7055142
4963,tonghuashu,4992,371390.8246,2385772.725,45.828125,0.2869,0.6774378,0.55766284,2.2149525,-0.6774378,1.6347284
4964,tonghuashu,4993,371405.8226,2385774.207,7.207547,0.1645,0.5176798,0.3056677,0.3130385,-0.5176798,1.2740016
4965,tonghuashu,4994,371391.2321,2385767.73,12.16,0.2511,0.61606616,0.463347,0.72544074,-0.61606616,1.4640903
4966,tonghuashu,4996,371413.6971,2385805.199,13.133333,0.273,0.6624473,0.5008472,0.92282534,-0.6624473,1.5209378
4967,tonghuashu,4997,371437.3562,2385813.084,9.207667,0.25689998,0.6154708,0.46039015,0.58365005,-0.6154708,1.4195397
4968,tonghuashu,4998,371444.8651,2385820.355,7.549521,0.20500001,0.5576796,0.37279254,0.5036881,-0.5576796,1.3237484
4969,tonghuashu,4999,371453.9535,2385814.313,7.1823707,0.2034,0.5685364,0.3684173,0.3912947,-0.5685364,1.3241085
4970,tonghuashu,5000,371458.425,2385809.277,8.100347,0.2052,0.55084467,0.37562716,0.5884275,-0.55084467,1.3310728
4971,tonghuashu,5002,371467.8505,2385802.682,10.1595335,0.23539999,0.5945039,0.43174723,0.652035,-0.5945039,1.4152849
4972,tonghuashu,5004,371459.2816,2385783.243,17.761906,0.28160003,0.66843724,0.5259251,1.4249426,-0.66843724,1.5618384
4973,tonghuashu,5006,371261.2136,2385689.434,13.718919,0.2353,0.6290116,0.44136688,1.1223583,-0.6290116,1.4931321
4974,tonghuashu,5007,371262.272,2385693.435,14.396888,0.3443,0.71256655,0.6086573,1.3510774,-0.71256655,1.5826702
4975,tonghuashu,5008,371263.6372,2385696.514,17.657438,0.48139998,0.72690356,0.76966333,2.8014827,-0.72690356,1.6197076
4976,tonghuashu,5010,371269.1445,2385683.44,17.454546,0.2896,0.68976897,0.5381799,1.5541316,-0.68976897,1.5813947
4977,tonghuashu,5013,371317.2591,2385666.376,16.868055,0.2285,0.6390013,0.43484083,0.82236105,-0.6390013,1.5270698
4978,tonghuashu,5014,371324.6463,2385668.873,16.154762,0.25460002,0.65943134,0.47838485,1.1921194,-0.65943134,1.5428457
4979,tonghuashu,5015,371329.2183,2385673.911,12.321243,0.2185,0.608931,0.4101587,0.7219524,-0.608931,1.4587948
4980,tonghuashu,5016,371328.6039,2385687.985,23.257812,0.28489998,0.69147724,0.5397749,1.7657464,-0.69147724,1.6090295
4981,tonghuashu,5017,371336.6261,2385684.429,22.322369,0.32410002,0.71190715,0.6021829,1.5737787,-0.71190715,1.6261526
4982,tonghuashu,5020,371349.6974,2385671.882,20.27841,0.3393,0.7212443,0.62093914,1.6876671,-0.7212443,1.6272523
4983,tonghuashu,5021,371349.7768,2385679.343,13.64977,0.2745,0.64647025,0.50476485,1.1772709,-0.64647025,1.5099494
4984,tonghuashu,5022,371356.7618,2385681.844,16.285715,0.25680003,0.6688015,0.48229796,1.1550459,-0.6688015,1.5530992
4985,tonghuashu,5023,371373.047,2385625.379,18.948864,0.3159,0.7045745,0.58265686,1.9193759,-0.7045745,1.6043181
4986,tonghuashu,5024,371383.6965,2385616.899,24.232143,0.2602,0.64484847,0.49816397,2.416307,-0.64484847,1.5655844
4987,tonghuashu,5025,371417.6955,2385628.329,17.075676,0.2974,0.6648221,0.54964304,1.6334465,-0.6648221,1.5541761
4988,tonghuashu,5026,371421.5981,2385634.547,19.8375,0.3014,0.6918977,0.5617777,1.5682782,-0.6918977,1.5959169
4989,tonghuashu,5027,371413.6937,2385642.848,18.450777,0.33679998,0.71160775,0.6125692,1.7366476,-0.71160775,1.608784
4990,tonghuashu,5028,371405.141,2385640.989,23.480263,0.34170002,0.7358949,0.63133955,1.8104343,-0.7358949,1.6541965
