,CLASS_NAME,num,x,y,B2,B3,B4,B5,B6,B7,B8
6375,water,3601,372770.8119,2382336.224,0.108099997,0.116400003,0.109099999,0.074000001,0.044799998,0.02,0
6376,water,3602,372764.6206,2382340.986,0.098899998,0.106399998,0.091300003,0.074000001,0.078000002,0.066100001,0
6377,water,3603,372761.6043,2382348.13,0.108999997,0.116400003,0.105499998,0.079599999,0.0328,0,0
6378,water,3604,372757.7943,2382354.798,0.105400003,0.109999999,0.093699999,0.072400004,0.0735,0.066100001,0
6379,water,3605,372755.4131,2382367.815,0.113600001,0.117200002,0.106700003,0.078000002,0.050900001,0.02,0
6380,water,3608,372729.0605,2382397.819,0.108099997,0.114299998,0.113200001,0.0836,0.035,0.028100001,0
6381,water,3609,372717.1543,2382412.9,0.104400001,0.1043,0.092500001,0.066699997,0.0999,0.103299998,0.090499997
6382,water,3610,372703.978,2382434.808,0.118199997,0.122900002,0.116800003,0.090099998,0.056899998,0.0003,0
6383,water,3611,372690.8017,2382451.953,0.1118,0.115699999,0.122100003,0.0836,0.045600001,0.0405,0
6384,water,3612,372686.5154,2382461.478,0.118199997,0.127900004,0.118000001,0.1021,0.0539,0.0018,0
6385,water,3613,372681.1179,2382470.527,0.104400001,0.113600001,0.109700002,0.0748,0.095399998,0.114299998,0.0125
6386,water,3614,372674.7679,2382481.798,0.1118,0.118600003,0.112599999,0.084399998,0.093099996,0.062399998,0.0065
6387,water,3615,372668.5767,2382493.228,0.119099997,0.122199997,0.113799997,0.091700003,0.046300001,0.039000001,0
6388,water,3616,372663.8141,2382499.102,0.107199997,0.113600001,0.1008,0.077200003,0.062199999,0.055100001,0
6389,water,3617,372658.2579,2382504.499,0.115400001,0.125,0.120300002,0.0933,0.0561,0.061700001,0
6390,water,3620,372627.6191,2382551.172,0.108099997,0.113600001,0.102600001,0.082800001,0.0539,0.017100001,0
6391,water,3621,372619.5228,2382557.045,0.0889,0.090700001,0.072300002,0.038600001,0.231199995,0.368600011,0.407099992
6392,water,3624,372626.0316,2382566.253,0.108999997,0.121399999,0.111400001,0.088399999,0.067500003,0.0098,0
6393,water,3625,372629.0478,2382574.508,0.0898,0.094999999,0.0788,0.0458,0.127800003,0.254599988,0.102499999
6394,water,3626,372633.9691,2382579.747,0.113600001,0.118600003,0.115599997,0.084399998,0.045600001,0.035399999,0
