,CLASS_NAME,num,x,y,HH,HV,HH+HV,Entropy,Alpha,Anisotropy,HA,H(1-A)
111,baigurang,3985,373873.9771,2381540.998,-14.09271,-19.738157,-16.915434,0.71016324,20.485611,0.6116118,14.548128,-13.837964
112,baigurang,3986,373827.4632,2381536.871,-12.030385,-19.51994,-15.775162,0.6876472,18.955404,0.63302505,13.034631,-12.346984
113,baigurang,3988,373907.9497,2381504.327,-10.670056,-17.794752,-14.232405,0.6411263,15.756557,0.67426443,10.101943,-9.460816
114,baigurang,3990,373853.657,2381464.745,-12.904781,-16.87591,-14.890346,0.7706732,26.216108,0.5483374,20.204052,-19.43338
115,baigurang,3994,373765.5788,2381375.87,-10.163637,-19.399487,-14.781562,0.72809917,20.28009,0.5937856,14.765917,-14.037818
116,baigurang,3995,373751.8205,2381347.824,-9.12813,-16.341608,-12.734869,0.6731075,17.768135,0.6463269,11.959865,-11.286757
117,baigurang,3996,373770.3414,2381338.96,-11.854163,-17.648502,-14.751333,0.63766044,17.397842,0.67718977,11.093916,-10.456256
118,baigurang,3997,373716.3662,2381332.743,-12.710057,-17.077213,-14.893635,0.7358941,23.07982,0.585809,16.984303,-16.24841
119,baigurang,3998,373694.6704,2381328.377,-14.582149,-18.41382,-16.497984,0.82985854,26.889576,0.4758539,22.314545,-21.484686
120,baigurang,3999,373665.5661,2381303.374,-14.007476,-18.812271,-16.409874,0.7211094,20.705154,0.600818,14.930681,-14.209572
121,baigurang,4000,373675.7526,2381270.169,-9.363569,-16.92247,-13.14302,0.69906837,20.646683,0.62229156,14.433443,-13.734374
122,baigurang,4001,373715.0433,2381283.001,-10.617312,-15.501575,-13.059444,0.7557819,24.561314,0.56477726,18.562996,-17.807215
123,baigurang,4002,373685.9391,2381225.586,-11.439036,-16.238865,-13.838951,0.76939154,22.966595,0.5497772,17.670303,-16.900911
124,baigurang,4003,373659.7453,2381218.046,-12.727745,-16.704933,-14.716339,0.83273697,25.189411,0.47198066,20.976154,-20.143417
125,baigurang,4004,373654.7182,2381191.587,-11.537045,-16.577232,-14.057138,0.7922013,23.027185,0.5234006,18.242167,-17.449965
126,baigurang,4006,373613.84,2381148.989,-15.63604,-19.030144,-17.333092,0.8241715,26.72873,0.48339832,22.029057,-21.204885
127,baigurang,4007,373565.6857,2381161.292,-13.957479,-18.480495,-16.218987,0.71914786,21.592218,0.6027715,15.527998,-14.80885
128,baigurang,4008,373541.344,2381173.463,-10.997803,-16.890858,-13.94433,0.725334,19.76008,0.5965809,14.332658,-13.607324
129,baigurang,4011,373500.3335,2381129.41,-11.800231,-18.127548,-14.96389,0.6896826,19.729347,0.631131,13.606988,-12.917305
130,baigurang,4012,373533.0096,2381134.966,-12.310446,-18.902197,-15.606321,0.67442745,21.894545,0.64513546,14.766282,-14.091854
