,CLASS_NAME,num,x,y,B1,B3,B4,B5,B6,B7,B8,RVI,GNDVI,MTVI2,MSAVI,MCARI,NDVIRE,NDWI,CMRI
6028,tonghuashu,9709,371827.4242,2385724.403,0.080799997,0.0678,0.056299999,0.031300001,0.158700004,0.239999995,0.239199996,7.6677313,0.5594542,0.41942188,0.3791676,0.55377686,0.6705264,-0.5594542,1.3287134
6029,tonghuashu,9710,371828.7339,2385724.483,0.079999998,0.073600002,0.0581,0.0337,0.146699995,0.237800002,0.2104,7.05638,0.5272961,0.41184253,0.36881647,0.42825946,0.62638575,-0.5272961,1.2790457
6030,tonghuashu,9711,371835.2823,2385726.626,0.079300001,0.079300001,0.065800004,0.035300002,0.181400001,0.285299987,0.300300002,8.082152,0.5650027,0.4902616,0.44369185,0.64584565,0.67420393,-0.5650027,1.3447906
6031,tonghuashu,9712,371833.2186,2385728.65,0.080799997,0.07,0.0557,0.0458,0.099100001,0.1479,0.068899997,3.2292576,0.3575034,0.19792826,0.1836001,0.10273511,0.3678399,-0.3575034,0.8846072
6032,tonghuashu,9714,371867.4689,2385726.665,0.082400002,0.068599999,0.056899998,0.031300001,0.168500006,0.257499993,0.254799992,8.226836,0.5792702,0.45048842,0.409066,0.6310406,0.68668664,-0.5792702,1.3625112
6033,tonghuashu,9716,371868.9374,2385728.65,0.082400002,0.07,0.065200001,0.031300001,0.170100003,0.266299993,0.227200001,8.507987,0.58370507,0.46774796,0.4239322,0.6455105,0.6891757,-0.58370507,1.3733556
6034,tonghuashu,9717,371866.5958,2385728.531,0.081600003,0.072099999,0.059300002,0.034499999,0.159500003,0.244299993,0.266799986,7.0811596,0.5442478,0.41534674,0.3777178,0.4970852,0.6443299,-0.5442478,1.2967587
6035,tonghuashu,9718,371865.3655,2385728.531,0.079300001,0.073600002,0.0616,0.034499999,0.210800007,0.337900013,0.381900012,9.794204,0.64228433,0.5658765,0.5292312,0.90955627,0.7187118,-0.64228433,1.4569997
6036,tonghuashu,9719,371876.9543,2385730.237,0.080799997,0.075000003,0.057500001,0.034499999,0.142900005,0.241400003,0.219999999,6.997102,0.5259166,0.41571817,0.37278914,0.39274722,0.61104846,-0.5259166,1.275826
6037,tonghuashu,9720,371876.9543,2385724.403,0.083999999,0.073600002,0.058699999,0.024900001,0.158000007,0.253800005,0.222399995,10.192771,0.5503971,0.4973682,0.4215133,0.73746026,0.72772,-0.5503971,1.3717103
6038,tonghuashu,9721,371874.9699,2385724.363,0.082400002,0.063600004,0.056299999,0.022500001,0.158000007,0.267699987,0.233199999,11.897777,0.61605793,0.5211786,0.4531157,0.81893164,0.7506926,-0.61605793,1.4609923
6039,tonghuashu,9722,371879.018,2385724.403,0.079300001,0.072099999,0.0557,0.032900002,0.158700004,0.284500003,0.242799997,8.647416,0.5956254,0.49110603,0.44947723,0.52327585,0.65657616,-0.5956254,1.3883159
6040,tonghuashu,9723,371915.1337,2385729.999,0.074500002,0.069300003,0.056299999,0.038600001,0.164000005,0.272100002,0.238000005,7.0492225,0.5940246,0.43219584,0.41274172,0.4523171,0.61895365,-0.5940246,1.3455534
6041,tonghuashu,9724,371917.1975,2385730.356,0.079300001,0.071400002,0.054499999,0.0297,0.159500003,0.271400005,0.191200003,9.138047,0.5834305,0.48934713,0.43724748,0.6024482,0.68604654,-0.5834305,1.3861539
6042,tonghuashu,9725,371919.4597,2385730.356,0.076899998,0.064300001,0.0515,0.0233,0.112000003,0.199000001,0.121699996,8.540772,0.51158375,0.3916119,0.3285935,0.3805116,0.65558016,-0.51158375,1.3019571
6043,tonghuashu,9726,371929.2228,2385734.722,0.076899998,0.062799998,0.052099999,0.025699999,0.155699998,0.235599995,0.184,9.1673155,0.5790885,0.43881688,0.3873079,0.6750231,0.7166483,-0.5790885,1.3823798
6044,tonghuashu,9727,371927.1591,2385734.682,0.075300001,0.069300003,0.058699999,0.032099999,0.122500002,0.200499997,0.101300001,6.246106,0.48628607,0.34945118,0.30819872,0.3043801,0.58473486,-0.48628607,1.2102757
6045,tonghuashu,9728,371926.8812,2385736.548,0.0832,0.076399997,0.067000002,0.0418,0.180600002,0.223900005,0.332700014,5.3564596,0.4911755,0.3500424,0.32411104,0.5096549,0.6241007,-0.4911755,1.1765349
6046,tonghuashu,9729,371945.2963,2385734.404,0.079999998,0.068599999,0.056899998,0.031300001,0.174600005,0.277999997,0.271600008,8.881789,0.60415465,0.48450625,0.44350934,0.68110734,0.69596887,-0.60415465,1.401762
6047,tonghuashu,9730,371597.7601,2385276.645,0.067400001,0.0535,0.0385,0.0104,0.147400007,0.247299999,0.258399993,23.778847,0.6442819,0.58557,0.45634073,1.6755414,0.8681876,-0.6442819,1.5635679
6048,tonghuashu,9731,371598.0776,2385278.868,0.070500001,0.051399998,0.039099999,0.0144,0.120999999,0.222399995,0.168400005,15.444445,0.6245435,0.48348567,0.3970359,0.77876943,0.78729695,-0.6245435,1.5029218
6049,tonghuashu,9733,371601.5701,2385278.603,0.072099999,0.057100002,0.040899999,0.016000001,0.152700007,0.279399991,0.287099987,17.462498,0.6606241,0.5888733,0.4953852,1.1221541,0.8103141,-0.6606241,1.5522964
6050,tonghuashu,9734,371601.4113,2385276.751,0.072099999,0.059300002,0.047400001,0.0209,0.177599996,0.320300013,0.3495,15.325359,0.68756586,0.6160808,0.5481015,1.1305217,0.78942066,-0.68756586,1.565057
6051,tonghuashu,9735,371599.2418,2385276.381,0.068899997,0.057100002,0.042100001,0.0185,0.128600001,0.270599991,0.209199995,14.627027,0.65151054,0.5480778,0.47122672,0.66593945,0.7484704,-0.65151054,1.5235271
6052,tonghuashu,9736,371603.2634,2385282.784,0.074500002,0.0614,0.0462,0.0217,0.158000007,0.298400015,0.32190001,13.751152,0.65869933,0.57665366,0.508499,0.8517438,0.75848645,-0.65869933,1.5231168
6053,tonghuashu,9737,371603.3163,2385284.583,0.065800004,0.051399998,0.0403,0.0128,0.151999995,0.287499994,0.228400007,22.460938,0.69666564,0.6286593,0.5214994,1.414075,0.8446603,-0.69666564,1.6114175
6054,tonghuashu,9738,371603.3163,2385286.435,0.082400002,0.059999999,0.056899998,0.016799999,0.028200001,0.035399999,0,2.107143,-0.25786164,0.1131564,0.035947144,0.02981143,0.25333336,0.25786164,0.09846023
6055,tonghuashu,9739,371601.5172,2385286.647,0.092699997,0.085000001,0.096000001,0.056299999,0.031300001,0.0186,0,0.33037302,-0.6409266,-0.009258664,-0.068209946,-0.00792785,-0.2853881,0.6409266,-1.1442643
6056,tonghuashu,9740,371675.8123,2385300.564,0.072899997,0.057799999,0.050999999,0.0185,0.149700001,0.239999995,0.245199993,12.972973,0.61182,0.49277395,0.4165807,0.91292727,0.78002375,-0.61182,1.4686866
6057,tonghuashu,9742,371677.6644,2385302.839,0.078500003,0.065700002,0.052700002,0.0241,0.143700004,0.2597,0.235599995,10.775933,0.5961893,0.4986156,0.43420947,0.6201162,0.7127533,-0.5961893,1.4263513
6058,tonghuashu,9743,371677.929,2385300.775,0.072899997,0.065700002,0.052700002,0.0273,0.146699995,0.236300007,0.231999993,8.655678,0.56490064,0.43467903,0.38396823,0.5545582,0.6862069,-0.56490064,1.3577687
6059,tonghuashu,9744,371679.7282,2385300.775,0.072899997,0.065700002,0.052700002,0.0273,0.146699995,0.236300007,0.231999993,8.655678,0.56490064,0.43467903,0.38396823,0.5545582,0.6862069,-0.56490064,1.3577687
6060,tonghuashu,9745,371679.5694,2385302.839,0.074500002,0.064999998,0.047400001,0.022500001,0.164800003,0.237800002,0.252400011,10.568889,0.5706737,0.47027504,0.40053326,0.89607257,0.7597438,-0.5706737,1.3977962
6061,tonghuashu,9747,371677.4527,2385304.903,0.072099999,0.064300001,0.058699999,0.0305,0.155000001,0.216600001,0.2104,7.1016393,0.54218584,0.37751424,0.34068042,0.54051805,0.671159,-0.54218584,1.2953222
