,CLASS_NAME,num,x,y,RVI,GNDVI,RDVI,CIg2,MSR2,MSAVI,MCARI1,MCARI2,CMRI
24,baigurang,3865,373207.4196,2381828.753,4.7250805,0.45567113,38.827557,1.2902639,0.48889437,2898.7783,484.08643,58.28306,1.1063311
25,baigurang,3866,373226.5094,2381855.674,5.1896553,0.478389,40.556366,1.1723164,0.35583806,,405.98322,,1.1552693
26,baigurang,3867,373236.956,2381866.564,5.457658,0.48153582,41.325268,1.2103773,0.43286872,,438.533,,1.171826
27,baigurang,3868,373243.0745,2381876.056,5.255282,0.48544413,40.548897,1.2911025,0.4694904,,449.06644,,1.1657144
28,baigurang,3870,373248.4323,2381863.058,5.877193,0.50089604,44.40192,1.3707361,0.531607,,527.5216,,1.2100798
29,baigurang,3871,373258.685,2381858.692,5.8368793,0.5087076,43.93148,1.5606344,0.55686706,3219.8623,564.33636,,1.2161765
30,baigurang,3872,373266.9863,2381869.739,6.2446184,0.5076778,44.047024,1.5700576,0.49507377,3115.0261,528,,1.2316108
31,baigurang,3873,373266.0933,2381883.2,5.998117,0.5030675,43.537457,1.4330485,0.5299869,3165.3442,493.11554,93.25469,1.2172763
32,baigurang,3874,373264.5058,2381897.289,5.302368,0.47020203,40.155205,1.201144,0.4331479,2871.7476,431.39432,58.9246,1.152861
33,baigurang,3876,373286.0363,2381908.699,5.412186,0.4847591,41.15929,1.332061,0.52293146,,463.78687,,1.172853
34,baigurang,3878,373278.564,2381899.283,5.484517,0.48361665,41.263214,1.3625954,0.46219218,2949.4014,477.5259,,1.1751897
35,baigurang,3879,373191.9856,2381811.832,5.409171,0.46746412,41.47129,1.1913747,0.40886876,3055.6572,460.95966,116.60226,1.1554112
36,baigurang,3881,373175.9915,2381799.323,5.1353636,0.46441495,40.587032,1.181081,0.41480267,2995.9495,457.43555,61.586777,1.138436
37,baigurang,3882,373187.0114,2381784.163,5.5589743,0.49723756,43.055347,1.4505495,0.43961033,3176.7224,517.79004,,1.1923119
38,baigurang,3883,373196.457,2381791.307,5.716495,0.5071348,43.90455,1.5174632,0.5143,3240.5159,533.47345,,1.2093604
39,baigurang,3884,373199.9892,2381779.202,6.0035844,0.51618016,44.661995,1.566885,0.5270186,,558.34973,,1.230612
40,baigurang,3885,373208.9189,2381772.256,6.0019083,0.5004771,43.270626,1.7172875,0.56842184,,578.1496,,1.2148407
41,baigurang,3886,373191.0992,2381763.168,4.7681417,0.41231978,37.29353,1.3122213,0.52704364,,529.23737,,1.0655876
42,baigurang,3887,373210.6046,2381787.585,6.0216217,0.51633394,44.64489,1.6078799,0.58050555,,550.1941,,1.2314994
43,baigurang,3888,373223.0929,2381794.728,6.380309,0.5219894,45.074905,1.7225434,0.5412581,,559.968,,1.250998
44,baigurang,3889,373224.5217,2381780.758,6.018622,0.5145267,43.898098,1.6737452,0.5533189,3148.4866,550.44415,,1.2295705
45,baigurang,3893,373252.5676,2381811.027,6.7019606,0.5733026,46.399006,2.1995685,0.58435136,,580.1696,,1.3136286
46,baigurang,3894,373248.5988,2381797.057,6.698225,0.5460961,46.24324,1.891675,0.5594188,,582.39233,,1.2862959
47,baigurang,3896,373389.4588,2381994.342,4.517516,0.43102145,37.527023,0.96631205,0.37170222,2788.0605,409.18735,48.20002,1.0685395
48,baigurang,3897,373384.0679,2381985.114,4.945902,0.45995644,39.96707,1.1146953,0.4380846,2931.6382,445.76224,,1.1235904
49,baigurang,3898,373392.4738,2381978.584,5.0351143,0.49433622,42.037197,1.4094982,0.49901196,,524.4648,,1.1629423
50,baigurang,3899,373402.4609,2381979.22,4.7809386,0.49710467,41.69444,1.4375553,0.4628198,3285.4062,535.04095,,1.1511401
51,baigurang,3900,373396.0426,2381968.165,5.763986,0.49084333,43.809383,1.4564831,0.515709,3223.5793,552.3057,,1.1951597
52,baigurang,3901,373387.0602,2381959.676,5.9065742,0.5046276,44.886005,1.4866548,0.5909897,3350.3577,569.8877,,1.2150484
53,baigurang,3902,373402.0727,2381937.176,6.4952197,0.53954226,45.903282,1.8415354,0.57869554,3343.4421,572.7989,,1.2727056
54,baigurang,3904,373380.9859,2381942.661,6.6916995,0.54400367,46.16428,1.819,0.5618201,,563.4498,,1.2839831
55,baigurang,3905,373409.0539,2381920.194,6.68714,0.5395493,46.81989,1.7418426,0.54130816,,571.1539,,1.2793745
56,baigurang,3906,373170.4446,2381785.177,3.9172933,0.3919316,33.925625,0.8022847,0.31051216,2563.3782,354.3677,52.331833,0.9852038
57,baigurang,3907,373214.482,2381727.608,5.3089285,0.46597633,40.59621,1.3951985,0.48714384,2896.687,499.52597,,1.1489652
58,baigurang,3909,373233.0147,2381714.716,6.2296295,0.5259696,45.197018,1.8172249,0.5248179,,555.0066,,1.2493303
59,baigurang,3910,373228.4374,2381699.686,5.543321,0.48969197,41.805096,1.4980989,0.4460382,,512.29425,,1.1840369
60,baigurang,3911,373250.4244,2381697.153,6.8,0.53587246,46.89924,1.8120229,0.5426559,,583.2011,,1.2794622
61,baigurang,3914,373242.5115,2381675.185,6.0910716,0.5330337,45.24257,1.7824831,0.53297216,,577.8848,123.28501,1.2509888
62,baigurang,3916,373258.7834,2381654.68,6.1967797,0.5317267,45.800594,1.802644,0.57961965,3402.353,594.5967,,1.2538247
63,baigurang,3917,373273.1371,2381642.708,6.673546,0.55463284,47.284645,1.952895,0.56246287,3521.3027,600.85297,70.55016,1.2939972
64,baigurang,3920,373284.2805,2381656.755,7.214429,0.5679442,48.43539,1.923387,0.54027236,,595.0655,,1.3244703
65,baigurang,3921,373334.816,2381638.234,6.2602997,0.5164436,45.11322,1.7317073,0.57931685,,587.99756,279.87585,1.2409729
66,baigurang,3922,373342.489,2381621.83,6.3566036,0.53275704,45.466213,1.8403116,0.5343993,,589.1469,,1.2608925
67,baigurang,3924,373359.0255,2381624.872,6.3445544,0.5235378,44.31742,1.8752495,0.51506996,3120.6057,572.7566,,1.2512273
68,baigurang,3925,373352.94,2381643.79,6.55489,0.5317164,45.23559,1.9292829,0.497082,3243.2417,566.9191,61.522118,1.2669872
69,baigurang,3926,373311.6649,2381561.108,5.642105,0.49061415,43.00308,1.5896269,0.53413993,3168.79,572.5669,55.007763,1.1895047
70,baigurang,3927,373274.7555,2381597.62,6.001828,0.50665444,44.209614,1.6725582,0.56186354,,565.05023,,1.2210147
71,baigurang,3928,373330.8826,2381662.576,7.1306124,0.5494457,47.59269,2.0187008,0.56065094,,591.8173,209.02133,1.3034618
72,baigurang,3929,373389.4852,2381563.478,4.926677,0.46068454,40.836506,1.2830188,0.42223114,,482.96356,,1.1232274
73,baigurang,3930,373410.2286,2381554.588,5.336093,0.50889516,42.335655,1.6539562,0.47066155,,544.82434,,1.1932431
74,baigurang,3931,373393.1894,2381535.75,6.175373,0.49706015,44.7303,1.4739208,0.4988264,,566.72614,,1.218329
75,baigurang,3932,373373.5044,2381519.981,5.4920354,0.4647156,41.90607,1.4365079,0.45479798,,530.63947,,1.1566458
76,baigurang,3933,373428.8553,2381537.02,5.7220216,0.49352178,42.86797,1.5469767,0.4755542,3111.7952,558.4243,,1.1959922
77,baigurang,3934,373439.0153,2381594.699,5.6945453,0.49356222,42.55145,1.492467,0.49283004,,491.65936,,1.1948116
78,baigurang,3935,373440.9203,2381622.216,5.116585,0.4930522,41.07629,1.3931947,0.42945296,,462.69766,,1.1660724
79,baigurang,3936,373452.8795,2381675.344,5.4886956,0.49608913,42.254734,1.1966133,0.4702288,,441.08527,,1.1878607
80,baigurang,3937,373474.1521,2381654.284,5.920863,0.5018248,44.10609,1.6657509,0.5152597,3219.9724,562.8191,,1.2128435
81,baigurang,3938,373495.4246,2381680.954,6.521101,0.53288764,46.998417,1.6685134,0.49864277,,569.88086,,1.2669691
82,baigurang,3939,373439.5445,2381726.039,5.1155963,0.4562549,38.85184,1.3621517,0.43102455,2716.1794,454.87277,,1.1292222
83,baigurang,3940,373425.4686,2381763.504,5.792844,0.5093229,42.37549,1.861,0.5307755,2997.7964,537.6475,,1.2148954
84,baigurang,3941,373449.7045,2381776.839,6.416826,0.52997494,45.486935,1.7177497,0.5687847,3288.5422,558.1552,,1.2603178
85,baigurang,3943,373481.2429,2381745.406,5.7643676,0.4804428,41.85303,1.5350379,0.4643989,2919.2324,529.60834,,1.1847758
86,baigurang,3944,373507.1721,2381764.562,4.5761046,0.43901184,37.433926,1.0697248,0.46221805,2766.9324,430.93686,74.01476,1.0803385
87,baigurang,3946,373510.6646,2381733.976,4.6962843,0.45897114,38.531406,1.3701298,0.47253385,,488.71832,,1.1078651
88,baigurang,3949,373412.2968,2381462.705,5.6529517,0.47456837,42.650806,1.3854352,0.504622,3084.9868,535.5696,,1.17395
89,baigurang,3950,373422.4568,2381475.564,5.348718,0.47143194,41.7442,1.3033807,0.44421792,3043.2778,505.4813,,1.1564077
90,baigurang,3952,373374.9111,2381417.223,3.735695,0.38066465,34.05837,0.8707317,0.39185506,,439.5457,,0.95834017
91,baigurang,3953,373404.2005,2381408.651,4.551613,0.43321484,37.53288,1.4435484,0.4945959,,513.8643,,1.0729592
92,baigurang,3955,373416.9799,2381409.762,4.3769364,0.38131452,35.10294,1.2467077,0.44149083,,494.97516,,1.0093554
93,baigurang,3956,373427.9337,2381424.367,5.0959597,0.47370982,40.432243,1.53284,0.46262065,2980.2322,523.4056,52.355507,1.1456237
94,baigurang,3957,373423.568,2381434.13,5.1530614,0.46270818,40.59863,1.4824798,0.4759303,2967.205,538.14935,,1.1376667
95,baigurang,3958,373437.6968,2381440.559,4.8532424,0.436001,38.55466,1.4897046,0.45107833,,525.0274,,1.09431
96,baigurang,3959,373434.9981,2381452.307,5.37133,0.47848824,41.671375,1.5587968,0.45468903,3050.598,517.48083,,1.164582
97,baigurang,3961,373479.9178,2381479.438,5.1939163,0.42588726,38.648262,1.4754546,0.48655748,2646.336,507.7695,,1.1029898
