,CLASS_NAME,num,x,y,HH,HV,HH-HV,HH+HV,HH/HV
198,baigurang,4097,373844.5629,2380512.121,-14.108048,-19.678436,5.570388,-16.893242,0.7169293
199,baigurang,4098,373759.0494,2380517.836,-13.390749,-18.152384,4.761635,-15.771566,0.73768544
200,baigurang,4100,373730.051,2380580.066,-12.658415,-21.247742,8.589327,-16.95308,0.59575343
201,baigurang,4103,373694.9142,2380670.236,-11.717853,-18.842377,7.124524,-15.280115,0.6218882
202,baigurang,4104,373723.4893,2380703.679,-13.155839,-19.342352,6.186513,-16.249096,0.6801571
203,baigurang,4105,373749.3127,2380740.509,-12.657634,-19.542456,6.884822,-16.100044,0.64769924
204,baigurang,4106,373768.3627,2380701.986,-12.057541,-18.097961,6.0404205,-15.077751,0.66623753
205,baigurang,4107,373692.7976,2380738.816,-13.018524,-19.692104,6.67358,-16.355314,0.6611038
206,baigurang,4108,373686.2359,2380774.376,-10.591474,-20.45655,9.865077,-15.524012,0.5177546
207,baigurang,4109,373722.8543,2380826.658,-14.008249,-18.183159,4.1749096,-16.095703,0.7703969
208,baigurang,4110,373681.7909,2380823.271,-10.927986,-18.314095,7.3861084,-14.62104,0.59669816
209,baigurang,4111,373651.7341,2380832.585,-12.947047,-17.697514,4.7504663,-15.322281,0.73157436
210,baigurang,4112,373749.736,2380897.778,-11.751949,-18.246742,6.494793,-14.999346,0.6440574
211,baigurang,4115,373831.0162,2380635.523,-15.81718,-19.984838,4.167659,-17.901009,0.79145896
212,baigurang,4116,373882.4513,2380527.572,-14.027107,-20.35519,6.328083,-17.191149,0.68911695
213,baigurang,4117,373928.8064,2380523.762,-11.611032,-20.152414,8.541383,-15.881723,0.57616085
214,baigurang,4118,373952.9364,2380491.377,-12.623798,-19.569786,6.9459877,-16.096792,0.6450657
215,baigurang,4119,373893.2463,2380464.496,-14.262152,-19.049702,4.78755,-16.655926,0.7486811
216,baigurang,4120,373853.8762,2380445.234,-13.788807,-19.625679,5.836872,-16.707243,0.70259005
217,baigurang,4121,373813.0245,2380419.834,-13.299454,-18.729948,5.4304943,-16.014702,0.7100636
218,baigurang,4122,373835.6728,2380389.777,-12.362043,-20.877666,8.515623,-16.619854,0.5921181
219,baigurang,4126,373989.7754,2380601.262,-12.474449,-16.854885,4.380436,-14.664667,0.74010885
220,baigurang,4127,374025.3355,2380569.67,-11.225894,-16.584835,5.358941,-13.905365,0.676877
221,baigurang,4128,374059.4668,2380572.052,-13.943531,-16.95385,3.0103188,-15.44869,0.8224404
222,baigurang,4129,374028.9867,2380595.388,-10.656252,-18.301926,7.6456738,-14.479089,0.58224756
223,baigurang,4130,374092.4769,2380649.012,-11.564928,-20.755308,9.19038,-16.160118,0.5572034
224,baigurang,4131,374127.5343,2380655.098,-10.687667,-19.294737,8.60707,-14.991201,0.55391616
225,baigurang,4133,374075.8082,2380666.343,-14.605586,-17.844341,3.2387552,-16.224964,0.81849957
226,baigurang,4134,374093.403,2380693.33,-12.148723,-17.351362,5.2026396,-14.750042,0.7001596
227,baigurang,4137,374105.7061,2380728.652,-11.544845,-18.744379,7.1995344,-15.144611,0.6159097
