,CLASS_NAME,num,x,y,RVI,DVI,GNDVI,EVI2,MTVI2,MCARI,NDVIRE,NDWI,CMRI,advanced1,advanced2,advanced5,advanced6,advanced7,advanced10,higher3,higher5,higher6,higher7,higher8,higher9,simple2,simple4,simple6,simple7
3190,luodi,3265,374593.9537,2381010.066,0.6409228,-0.035799995,-0.25611174,-0.06867815,-0.03454288,0.013609915,0.061205294,0.25611174,-0.47493812,48.462605,28.364944,77.21047,4.9463286,2.4465525,0.9908954,20.167173,0.00042086,2488.307,0.000393306,2304.046,0.000562978,7.7681165,0.23268402,365.03378,17545.703
3191,luodi,3267,374593.8876,2381005.304,0.7669801,-0.022300005,-0.17713004,-0.04278326,-0.01587447,0.00616616,0.025458224,0.17713004,-0.30900472,48.52216,26.144245,70.252884,4.863757,2.4352498,0.99153984,20.230303,0.000418247,2493.9333,0.000392789,2318.144,0.000566686,7.7506256,0.22977147,344.0217,15828.691
3192,luodi,3268,374568.708,2381045.463,0.71707314,-0.023200002,-0.26911125,-0.04619306,-0.001897143,-0.009637977,-0.14926422,0.26911125,-0.43388397,48.57479,29.903687,78.80311,4.953644,2.4569492,0.99136865,19.910145,0.000421117,2485.1072,0.00040765,2398.7783,0.000483746,7.9734144,0.16721064,474.05176,17186.098
3193,luodi,3269,374565.9299,2381043.942,8.474748,0.22200002,0.5790464,0.4195075,0.44816342,0.3419188,0.6117647,-0.5790464,1.367959,48.685596,29.589516,76.848366,4.965186,2.4632344,0.9920115,19.771015,0.000418454,2499.9653,0.000405464,2411.132,0.000479176,8.014795,0.17186214,462.28946,16723.256
3194,luodi,3270,374563.284,2381047.448,4.5555553,0.1856,0.47656012,0.34040552,0.3360975,0.3314567,0.53183854,-0.47656012,1.1165601,48.069252,29.920412,76.90602,4.9466186,2.4779212,0.9918313,19.921284,0.000430817,2430.9214,0.000415329,2335.1284,0.000501584,8.012312,0.16433176,492.14166,17718.863
3195,luodi,3271,374356.1149,2380469.398,3.76874,0.1736,0.44525993,0.3129552,0.2994453,0.37929183,0.52714926,-0.44525993,1.025862,50.699448,34.717148,67.46416,4.9407535,2.620364,0.992018,18.15294,0.000390359,2716.909,0.00037545,2590.059,0.000469372,8.126218,0.15038046,-152.59676,12621.229
3196,luodi,7852,371500.1272,2384852.473,1.9390243,0.115499996,0.34936348,0.1882702,0.13583758,0.15794574,0.30390492,-0.34936348,0.66886556,48.8795,114.37468,437.74423,5.1373224,2.5861173,0.9598592,11.697842,0.000492143,2375.0325,0.000456371,1992.9282,0.00141842,7.383633,0.30507186,2036.3824,245335.78
3197,luodi,7853,371501.8735,2384852.473,1.0903226,0.015400007,0.17956854,0.024136428,-0.03446497,-0.020540059,-0.057364345,-0.17956854,0.22277844,48.429363,114.71038,435.46307,5.164634,2.60751,0.96073127,11.6737585,0.000499512,2345.9788,0.000464394,1973.8727,0.001336726,7.4778323,0.29203558,2522.5308,250117.94
3198,luodi,7854,371501.9264,2384850.515,1.4966887,0.067499995,0.24670549,0.11032583,0.06631953,0.03730445,0.12660666,-0.24670549,0.44564447,47.15097,109.13372,407.85147,5.286488,2.644258,0.9681156,12.040269,0.000514294,2275.6243,0.000482676,1950.5687,0.001037839,7.755709,0.2560739,3546.5024,250590.6
3199,luodi,7855,371500.1801,2384850.303,1.3474462,0.051699996,0.21074876,0.08297915,0.039047074,0.047557257,0.1418685,-0.21074876,0.35875905,47.603878,109.63533,413.3306,5.2830367,2.6326182,0.96767473,12.2067795,0.000505624,2310.2812,0.000473553,1977.7126,0.001083898,7.6964884,0.26628143,3147.619,245928.55
3200,luodi,7856,371498.1164,2384850.409,1.8694445,0.1252,0.343984,0.19383207,0.13697459,0.05900341,0.1632772,-0.343984,0.646985,47.984764,109.602264,397.75134,5.23293,2.5973642,0.96373534,12.351536,0.000499641,2330.2083,0.00046803,1999.1399,0.001128361,7.563082,0.2756513,2909.7378,241535.58
3201,luodi,7857,371498.4868,2384848.61,2.2773914,0.1469,0.41644135,0.23879966,0.17961799,0.18403517,0.33564413,-0.41644135,0.8061999,46.775623,101.49813,361.00003,5.340031,2.6306086,0.9718243,12.799353,0.000509329,2281.8577,0.000479237,1994.2383,0.000881486,7.8380375,0.23770256,3700.778,231424.2
3202,luodi,7860,371497.9047,2384854.642,14.554403,0.2616,0.6176217,0.49275932,0.57781786,1.1978693,0.8001036,-0.6176217,1.4890406,50.50831,115.52417,428.8956,4.889892,2.4834323,0.9435797,11.529182,0.000478303,2441.2607,0.000439174,2011.9796,0.001995913,6.8741145,0.35798103,348.57132,236506.45
3203,luodi,7861,371499.8626,2384854.748,14.554403,0.2616,0.6176217,0.49275932,0.57781786,1.1978693,0.8001036,-0.6176217,1.4890406,50.50831,115.52417,428.8956,4.889892,2.4834323,0.9435797,11.529182,0.000478303,2441.2607,0.000439174,2011.9796,0.001995913,6.8741145,0.35798103,348.57132,236506.45
3204,luodi,7862,371351.947,2384702.374,1.3656716,0.0441,0.21192051,0.07581802,0.037371214,0.121411026,0.27217865,-0.21192051,0.36649466,41.353184,37.632877,102.06337,5.136516,2.5135915,0.99123955,17.311764,0.000590574,1830.7853,0.000567709,1742.1497,0.000705591,8.191322,0.18506603,603.2113,26341.027
3205,luodi,7863,371354.368,2384702.414,1.5463696,0.076000005,0.27542248,0.12266454,0.071326464,0.021106903,0.08667105,-0.27542248,0.48999053,41.217453,37.38069,101.86349,5.1257906,2.5124693,0.9914781,18.026394,0.00059585,1814.9883,0.000574138,1731.0664,0.000706186,8.162184,0.18849088,682.85205,26967.14
3206,luodi,7864,371355.9951,2384702.414,1.8559738,0.1046,0.36134455,0.17203042,0.11134788,0.049926154,0.16587032,-0.36134455,0.66105807,41.13712,36.500587,99.550835,5.088002,2.504404,0.9906517,18.818182,0.000598711,1803.4868,0.000576593,1720.8735,0.000710673,8.063281,0.19311458,739.78656,26939.688
3207,luodi,7867,371354.1298,2384700.469,1.5938174,0.0826,0.30835053,0.13275132,0.07281814,0.06301961,0.17838156,-0.30835053,0.5372862,41.282547,38.429863,106.12388,5.1417327,2.524735,0.9915724,17.905882,0.000594134,1826.0059,0.000572163,1740.2881,0.000717359,8.154087,0.19136555,719.0777,28269.17
3208,luodi,7868,371354.0901,2384698.842,2.1589744,0.0904,0.29638183,0.16671586,0.1460029,0.115230605,0.314888,-0.29638183,0.663265,41.35734,38.689484,106.48646,5.144916,2.533541,0.9918693,18.020649,0.000593905,1826.8201,0.000570252,1737.8206,0.000723957,8.149278,0.1961787,745.96594,28430.244
3209,luodi,7869,371347.8592,2384694.556,14.664688,0.4605,0.71062654,0.7309153,0.78099954,1.7418587,0.7863031,-0.71062654,1.5829508,41.80194,39.903984,105.70181,5.1872244,2.5513752,0.99160033,16.629412,0.000578931,1875.3295,0.00055756,1788.2174,0.000699751,8.209416,0.18331055,555.35046,27312.059
3210,luodi,7871,371343.9301,2384694.476,37.794643,0.4121,0.7387554,0.710429,0.8899671,4.285686,0.9122257,-0.7387554,1.6872019,41.909973,39.36724,104.93434,5.185842,2.5470097,0.99162,16.119047,0.000575972,1884.3779,0.000549445,1779.892,0.000717843,8.212866,0.19133627,503.99808,26743.832
3211,luodi,7872,371344.1682,2384686.063,1.490952,0.0624,0.2566313,0.10437994,0.058058325,0.03993092,0.14005414,-0.2566313,0.4537254,41.7964,43.15384,110.440834,5.2091646,2.6006553,0.99151456,16.211594,0.000581745,1884.8522,0.000566317,1821.6245,0.000678284,8.301626,0.15668382,584.89136,28517.346
3212,luodi,7873,371342.4617,2384686.063,3.1317072,0.1748,0.5026331,0.30063292,0.24711876,0.29466277,0.45533043,-0.5026331,1.0185716,41.836567,43.178276,110.75742,5.225431,2.6073117,0.9919363,15.976745,0.000580999,1887.3954,0.000564735,1818.6422,0.000680981,8.353443,0.16440241,558.74994,28424.688
3213,luodi,7874,371342.1045,2384684.356,1.919171,0.088700004,0.30193323,0.15651469,0.122394465,0.07081781,0.22334002,-0.30193323,0.6168072,41.729916,42.681904,108.82456,5.210321,2.613209,0.99166065,16.25,0.000586022,1871.8954,0.000570315,1801.747,0.00068378,8.32434,0.16851328,592.17804,27954.355
3214,luodi,7875,371343.7317,2384684.316,1.919171,0.088700004,0.30193323,0.15651469,0.122394465,0.07081781,0.22334002,-0.30193323,0.6168072,41.729916,42.681904,108.82456,5.210321,2.613209,0.99166065,16.25,0.000586022,1871.8954,0.000570315,1801.747,0.00068378,8.32434,0.16851328,592.17804,27954.355
3215,luodi,7876,371346.1526,2384684.356,1.5040233,0.06889999,0.26562017,0.11231155,0.0620715,0.06703761,0.18485388,-0.26562017,0.46690556,41.671745,42.353466,107.62163,5.1878815,2.6122563,0.9918475,16.705202,0.000587622,1864.2717,0.00057402,1803.6631,0.000676756,8.299015,0.16652203,628.66516,28044.465
3216,luodi,7880,371347.8989,2384690.428,1.2537314,0.03570001,0.18151374,0.0589467,0.019234698,0.029877007,0.10949369,-0.18151374,0.29409656,41.713295,41.73082,107.52993,5.18248,2.578883,0.9919893,16.82659,0.000586165,1862.1445,0.000572621,1800.3026,0.000675067,8.248548,0.17155732,613.43256,27945.53
3217,luodi,7881,371346.3907,2384690.468,1.5349593,0.0658,0.22557612,0.11084907,0.07828576,0.06427215,0.1857001,-0.22557612,0.43660885,41.770084,41.828026,107.03509,5.194057,2.5832636,0.99198145,16.58261,0.000583796,1869.0319,0.000569026,1802.978,0.0006777,8.271101,0.1671672,580.75507,27703.81
3218,luodi,7882,371243.7719,2384600.589,6.7313433,0.2304,0.5436394,0.42133597,0.43961644,0.3764951,0.5849252,-0.5436394,1.2849522,50.217453,36.69371,128.29008,5.2140007,2.2279634,0.9806033,16.03125,0.000403833,2622.45,0.000370147,2372.1316,0.000580552,7.684879,0.2952632,-172.7793,28593.783
3219,luodi,7883,371245.7563,2384600.655,5.796943,0.21970001,0.5025467,0.39933258,0.41549975,0.43705884,0.58849955,-0.5025467,1.2082968,50.529087,35.14112,121.063095,5.2064133,2.247635,0.9819448,16.052631,0.000397431,2659.0154,0.000367716,2424.3108,0.000557875,7.715009,0.28907377,-248.73697,26868.541
3220,luodi,7884,371248.0052,2384600.523,7.638498,0.2828,0.57198066,0.49522287,0.5241772,0.7165184,0.664699,-0.57198066,1.3404589,50.95845,30.978884,103.13437,5.083733,2.262525,0.9818223,17.141539,0.000387856,2707.5476,0.000361721,2485.973,0.000549394,7.583328,0.29746744,-153.15706,20572.443
3221,luodi,7885,371248.0714,2384602.441,7.908108,0.2556,0.56763995,0.4625742,0.49388355,0.8548231,0.70316887,-0.56763995,1.3431253,50.82687,31.384153,105.09617,5.1254864,2.2604158,0.981766,16.80805,0.000389639,2695.9287,0.000360989,2463.7754,0.000561589,7.6322575,0.29538026,-175.60928,21554.838
3222,luodi,7886,371248.2037,2384604.425,7.4729724,0.23949999,0.5451243,0.43854833,0.46973038,0.43696994,0.61598337,-0.5451243,1.3090796,50.718838,31.48189,105.442795,5.154847,2.2645524,0.98333305,16.612309,0.000391872,2678.9417,0.000365377,2459.1113,0.000554854,7.7002673,0.29202095,-160.29958,21656.555
3223,luodi,7887,371249.6589,2384604.69,7.4729724,0.23949999,0.5451243,0.43854833,0.46973038,0.43696994,0.61598337,-0.5451243,1.3090796,50.718838,31.48189,105.442795,5.154847,2.2645524,0.98333305,16.612309,0.000391872,2678.9417,0.000365377,2459.1113,0.000554854,7.7002673,0.29202095,-160.29958,21656.555
